turbine,horizon,horizon_minutes,target_column,model,n_features,assert_target_not_in_X,assert_no_future_features,assert_timestamp_alignment,n_timestamp_mismatches_checked,assert_not_identical_to_target,all_passed,note
TB02,6hour,360,TB02_power_target_6hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB02,6hour,360,TB02_power_target_6hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB02,24hour,1440,TB02_power_target_24hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB02,24hour,1440,TB02_power_target_24hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB02,24hour,1440,TB02_power_target_24hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB03,10min,10,TB03_power_target_10min,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB03,10min,10,TB03_power_target_10min,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB03,10min,10,TB03_power_target_10min,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB03,30min,30,TB03_power_target_30min,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB03,30min,30,TB03_power_target_30min,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB03,30min,30,TB03_power_target_30min,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB03,1hour,60,TB03_power_target_1hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB03,1hour,60,TB03_power_target_1hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB03,1hour,60,TB03_power_target_1hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB03,6hour,360,TB03_power_target_6hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB03,6hour,360,TB03_power_target_6hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB03,6hour,360,TB03_power_target_6hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB03,24hour,1440,TB03_power_target_24hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB03,24hour,1440,TB03_power_target_24hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB03,24hour,1440,TB03_power_target_24hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB04,10min,10,TB04_power_target_10min,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB04,10min,10,TB04_power_target_10min,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB04,10min,10,TB04_power_target_10min,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB04,30min,30,TB04_power_target_30min,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB04,30min,30,TB04_power_target_30min,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB04,30min,30,TB04_power_target_30min,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB04,1hour,60,TB04_power_target_1hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB04,1hour,60,TB04_power_target_1hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB04,1hour,60,TB04_power_target_1hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB04,6hour,360,TB04_power_target_6hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB04,6hour,360,TB04_power_target_6hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB04,6hour,360,TB04_power_target_6hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB04,24hour,1440,TB04_power_target_24hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB04,24hour,1440,TB04_power_target_24hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB04,24hour,1440,TB04_power_target_24hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB05,10min,10,TB05_power_target_10min,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB05,10min,10,TB05_power_target_10min,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB05,10min,10,TB05_power_target_10min,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB05,30min,30,TB05_power_target_30min,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB05,30min,30,TB05_power_target_30min,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB05,30min,30,TB05_power_target_30min,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB05,1hour,60,TB05_power_target_1hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB05,1hour,60,TB05_power_target_1hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB05,1hour,60,TB05_power_target_1hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB05,6hour,360,TB05_power_target_6hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB05,6hour,360,TB05_power_target_6hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB05,6hour,360,TB05_power_target_6hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB05,24hour,1440,TB05_power_target_24hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB05,24hour,1440,TB05_power_target_24hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB05,24hour,1440,TB05_power_target_24hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB06,10min,10,TB06_power_target_10min,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB06,10min,10,TB06_power_target_10min,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB06,10min,10,TB06_power_target_10min,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB06,30min,30,TB06_power_target_30min,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB06,30min,30,TB06_power_target_30min,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB06,30min,30,TB06_power_target_30min,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB06,1hour,60,TB06_power_target_1hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB06,1hour,60,TB06_power_target_1hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB06,1hour,60,TB06_power_target_1hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB06,6hour,360,TB06_power_target_6hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB06,6hour,360,TB06_power_target_6hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB06,6hour,360,TB06_power_target_6hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB06,24hour,1440,TB06_power_target_24hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB06,24hour,1440,TB06_power_target_24hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB06,24hour,1440,TB06_power_target_24hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB07,10min,10,TB07_power_target_10min,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB07,10min,10,TB07_power_target_10min,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB07,10min,10,TB07_power_target_10min,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB07,30min,30,TB07_power_target_30min,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB07,30min,30,TB07_power_target_30min,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB07,30min,30,TB07_power_target_30min,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB07,1hour,60,TB07_power_target_1hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB07,1hour,60,TB07_power_target_1hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB07,1hour,60,TB07_power_target_1hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB07,6hour,360,TB07_power_target_6hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB07,6hour,360,TB07_power_target_6hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB07,6hour,360,TB07_power_target_6hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB07,24hour,1440,TB07_power_target_24hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB07,24hour,1440,TB07_power_target_24hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB07,24hour,1440,TB07_power_target_24hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB08,10min,10,TB08_power_target_10min,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB08,10min,10,TB08_power_target_10min,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB08,10min,10,TB08_power_target_10min,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB08,30min,30,TB08_power_target_30min,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB08,30min,30,TB08_power_target_30min,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB08,30min,30,TB08_power_target_30min,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB08,1hour,60,TB08_power_target_1hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB08,1hour,60,TB08_power_target_1hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB08,1hour,60,TB08_power_target_1hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB08,6hour,360,TB08_power_target_6hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB08,6hour,360,TB08_power_target_6hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB08,6hour,360,TB08_power_target_6hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB08,24hour,1440,TB08_power_target_24hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB08,24hour,1440,TB08_power_target_24hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB08,24hour,1440,TB08_power_target_24hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB09,10min,10,TB09_power_target_10min,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB09,10min,10,TB09_power_target_10min,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB09,10min,10,TB09_power_target_10min,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB09,30min,30,TB09_power_target_30min,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB09,30min,30,TB09_power_target_30min,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB09,30min,30,TB09_power_target_30min,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB09,1hour,60,TB09_power_target_1hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB09,1hour,60,TB09_power_target_1hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB09,1hour,60,TB09_power_target_1hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB09,6hour,360,TB09_power_target_6hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB09,6hour,360,TB09_power_target_6hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB09,6hour,360,TB09_power_target_6hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB09,24hour,1440,TB09_power_target_24hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB09,24hour,1440,TB09_power_target_24hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB09,24hour,1440,TB09_power_target_24hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB10,10min,10,TB10_power_target_10min,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB10,10min,10,TB10_power_target_10min,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB10,10min,10,TB10_power_target_10min,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB10,30min,30,TB10_power_target_30min,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB10,30min,30,TB10_power_target_30min,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB10,30min,30,TB10_power_target_30min,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB10,1hour,60,TB10_power_target_1hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB10,1hour,60,TB10_power_target_1hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB10,1hour,60,TB10_power_target_1hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB10,6hour,360,TB10_power_target_6hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB10,6hour,360,TB10_power_target_6hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB10,6hour,360,TB10_power_target_6hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB10,24hour,1440,TB10_power_target_24hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB10,24hour,1440,TB10_power_target_24hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB10,24hour,1440,TB10_power_target_24hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB11,10min,10,TB11_power_target_10min,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB11,10min,10,TB11_power_target_10min,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB11,10min,10,TB11_power_target_10min,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB11,30min,30,TB11_power_target_30min,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB11,30min,30,TB11_power_target_30min,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB11,30min,30,TB11_power_target_30min,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB11,1hour,60,TB11_power_target_1hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB11,1hour,60,TB11_power_target_1hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB11,1hour,60,TB11_power_target_1hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB11,6hour,360,TB11_power_target_6hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB11,6hour,360,TB11_power_target_6hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB11,6hour,360,TB11_power_target_6hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB11,24hour,1440,TB11_power_target_24hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB11,24hour,1440,TB11_power_target_24hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB11,24hour,1440,TB11_power_target_24hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB12,10min,10,TB12_power_target_10min,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB12,10min,10,TB12_power_target_10min,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB12,10min,10,TB12_power_target_10min,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB12,30min,30,TB12_power_target_30min,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB12,30min,30,TB12_power_target_30min,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB12,30min,30,TB12_power_target_30min,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB12,1hour,60,TB12_power_target_1hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB12,1hour,60,TB12_power_target_1hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB12,1hour,60,TB12_power_target_1hour,lightgbm,150,True,True,True,0,True,True,lightgbm trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB12,6hour,360,TB12_power_target_6hour,ridge,630,True,True,True,0,True,True,ridge trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
TB12,6hour,360,TB12_power_target_6hour,xgboost,150,True,True,True,0,True,True,xgboost trained on features available at issue time t; target P(t+h) is created with shift(-h) and never enters X.
